episode,total_reward,average_loss,policy_loss,value_loss,entropy_loss,duration_sec,steps
0,667.0130,0.0000,0.0000,0.0000,0.0000,607.47,39
1,698.4166,0.0000,0.0000,0.0000,0.0000,608.46,42
2,778.0774,0.0000,0.0000,0.0000,0.0000,668.42,49
3,674.0581,0.0000,0.0000,0.0000,0.0000,642.40,42
4,671.1400,-0.2974,-0.0496,1.0112,-1.2589,572.47,37
5,798.2510,-0.2974,-0.0496,1.0112,-1.2589,646.36,45
6,1981.6274,-0.2974,-0.0496,1.0112,-1.2589,583.37,40
7,671.3701,-0.2974,-0.0496,1.0112,-1.2589,582.45,40
8,680.2055,-0.2974,-0.0496,1.0112,-1.2589,592.64,38
9,606.8181,1.1373,-0.0581,1.2136,-0.0182,592.50,38
10,629.2945,1.1373,-0.0581,1.2136,-0.0182,586.40,38
11,614.9697,1.1373,-0.0581,1.2136,-0.0182,514.91,35
12,917.1102,1.1373,-0.0581,1.2136,-0.0182,594.32,43
13,715.0437,1.1373,-0.0581,1.2136,-0.0182,618.91,44
14,732.1168,1.6509,-0.0539,1.7230,-0.0182,623.52,44
15,612.4100,1.6509,-0.0539,1.7230,-0.0182,575.88,37
16,716.8176,1.6509,-0.0539,1.7230,-0.0182,608.77,42
17,1030.3824,1.6509,-0.0539,1.7230,-0.0182,673.95,50
18,742.7248,1.6509,-0.0539,1.7230,-0.0182,643.36,45
19,738.7523,2.2537,-0.0886,2.3604,-0.0182,597.61,42
20,678.7051,2.2537,-0.0886,2.3604,-0.0182,616.15,42
21,588.9663,2.2537,-0.0886,2.3604,-0.0182,539.13,34
22,615.7805,2.2537,-0.0886,2.3604,-0.0182,567.11,36
23,644.3352,2.2537,-0.0886,2.3604,-0.0182,556.31,37
24,692.4162,1.1795,-0.0790,1.2767,-0.0182,603.15,40
25,641.3400,1.1795,-0.0790,1.2767,-0.0182,607.03,40
26,700.6540,1.1795,-0.0790,1.2767,-0.0182,642.03,43
27,877.7961,1.1795,-0.0790,1.2767,-0.0182,612.63,43
28,708.4992,1.1795,-0.0790,1.2767,-0.0182,576.90,39
29,631.7892,1.2357,-0.0756,1.3295,-0.0182,547.31,36
30,650.5147,1.2357,-0.0756,1.3295,-0.0182,537.42,37
31,729.7373,1.2357,-0.0756,1.3295,-0.0182,633.66,44
32,1068.5179,1.2357,-0.0756,1.3295,-0.0182,548.04,38
33,852.3745,1.2357,-0.0756,1.3295,-0.0182,655.61,49
34,628.4892,2.6363,-0.1078,2.7622,-0.0182,559.70,38
35,718.3768,2.6363,-0.1078,2.7622,-0.0182,585.35,42
36,680.5689,2.6363,-0.1078,2.7622,-0.0182,553.88,36
37,561.1758,2.6363,-0.1078,2.7622,-0.0182,542.20,32
38,619.9215,2.6363,-0.1078,2.7622,-0.0182,594.20,37
39,602.5504,1.0027,-0.0714,1.0923,-0.0182,562.84,36
40,828.1760,1.0027,-0.0714,1.0923,-0.0182,669.76,49
41,688.3071,1.0027,-0.0714,1.0923,-0.0182,598.22,41
42,715.2269,1.0027,-0.0714,1.0923,-0.0182,612.97,41
43,826.3893,1.0027,-0.0714,1.0923,-0.0182,680.07,46
44,686.2356,1.6956,-0.0501,1.7639,-0.0182,635.13,41
45,703.1017,1.6956,-0.0501,1.7639,-0.0182,603.28,41
