episode,total_reward,duration_sec,steps,avg_reward_per_step,avg_reward_per_sec
0,615.7138,553.69,38,16.2030,1.1120
1,497.9610,513.83,32,15.5613,0.9691
2,567.4424,556.98,37,15.3363,1.0188
3,512.6680,530.48,34,15.0785,0.9664
4,521.6757,538.95,36,14.4910,0.9680
5,508.3421,553.61,33,15.4043,0.9182
6,574.9244,559.71,36,15.9701,1.0272
7,-920.1656,520.99,33,-27.8838,-1.7662
8,499.2531,547.26,33,15.1289,0.9123
9,516.8583,503.75,33,15.6624,1.0260
10,533.3700,540.63,33,16.1627,0.9866
11,516.6362,546.46,33,15.6556,0.9454
12,543.9945,546.27,34,15.9998,0.9958
13,604.6210,541.85,35,17.2749,1.1159
14,650.6832,576.20,40,16.2671,1.1293
15,516.5257,503.29,33,15.6523,1.0263
16,520.3400,525.97,33,15.7679,0.9893
17,568.3339,591.85,40,14.2083,0.9603
18,478.2647,483.04,31,15.4279,0.9901
19,496.6138,529.43,37,13.4220,0.9380
20,396.7890,524.97,35,11.3368,0.7558
21,674.3259,639.70,43,15.6820,1.0541
22,468.4642,501.82,31,15.1117,0.9335
23,637.5298,520.44,37,17.2305,1.2250
24,650.6738,594.08,40,16.2668,1.0953
25,622.7543,582.92,41,15.1891,1.0683
26,644.4055,543.90,38,16.9580,1.1848
27,604.4259,604.42,40,15.1106,1.0000
28,609.1352,590.15,38,16.0299,1.0322
29,524.4911,546.01,34,15.4262,0.9606
30,518.1351,525.43,34,15.2393,0.9861
31,568.8278,569.13,38,14.9692,0.9995
32,504.0805,520.12,32,15.7525,0.9692
33,548.8463,562.64,37,14.8337,0.9755
34,605.2721,610.22,39,15.5198,0.9919
35,400.2100,567.41,36,11.1169,0.7053
36,541.0483,677.79,37,14.6229,0.7983
37,619.9475,1079.99,41,15.1207,0.5740
38,598.4116,1114.42,37,16.1733,0.5370
39,691.8394,1025.72,43,16.0893,0.6745
40,400.7573,525.62,33,12.1442,0.7624
41,561.0790,623.76,39,14.3866,0.8995
42,592.0455,626.43,37,16.0012,0.9451
43,550.9349,605.32,36,15.3037,0.9101
44,679.8879,648.47,43,15.8113,1.0485
