episode,total_reward,duration_sec,steps,avg_reward_per_step,avg_reward_per_sec
0,518.0170,634.80,35,14.8005,0.8160
1,540.6884,585.92,34,15.9026,0.9228
2,474.8575,566.23,33,14.3896,0.8386
3,594.5246,637.86,41,14.5006,0.9321
4,511.3536,610.16,35,14.6101,0.8381
5,497.4502,571.53,33,15.0742,0.8704
6,557.9794,649.16,38,14.6837,0.8595
7,141.6593,556.98,33,4.2927,0.2543
8,570.4671,639.40,37,15.4180,0.8922
9,500.7437,588.15,33,15.1741,0.8514
10,501.2274,611.73,34,14.7420,0.8194
11,541.2242,615.45,36,15.0340,0.8794
12,527.9914,584.06,36,14.6664,0.9040
13,604.4449,648.85,40,15.1111,0.9316
14,519.3901,627.13,38,13.6682,0.8282
15,575.6244,626.37,38,15.1480,0.9190
16,556.8133,634.04,39,14.2773,0.8782
17,663.0151,660.33,42,15.7861,1.0041
18,504.5698,641.65,37,13.6370,0.7864
19,489.4287,624.17,39,12.5495,0.7841
20,614.5871,622.00,40,15.3647,0.9881
21,472.9067,577.43,33,14.3305,0.8190
22,533.5579,596.32,38,14.0410,0.8948
23,569.1072,548.72,34,16.7384,1.0371
24,524.2009,618.15,37,14.1676,0.8480
25,543.2315,621.54,36,15.0898,0.8740
26,506.1856,581.78,34,14.8878,0.8701
27,499.2029,578.79,33,15.1274,0.8625
28,532.6375,597.22,36,14.7955,0.8919
29,557.8675,645.14,37,15.0775,0.8647
30,506.8149,593.88,34,14.9063,0.8534
31,520.7661,640.44,36,14.4657,0.8131
32,556.3134,713.41,37,15.0355,0.7798
33,568.0326,1150.34,41,13.8545,0.4938
34,640.7475,1291.13,42,15.2559,0.4963
35,705.2287,1023.06,48,14.6923,0.6893
36,560.7555,651.35,36,15.5765,0.8609
37,550.0486,678.05,36,15.2791,0.8112
38,593.2815,670.51,37,16.0346,0.8848
39,626.9880,713.33,42,14.9283,0.8790
40,563.9531,742.47,43,13.1152,0.7596
41,521.3408,977.18,38,13.7195,0.5335
42,591.1253,1284.12,42,14.0744,0.4603
43,562.6515,1152.38,37,15.2068,0.4883
44,493.0352,664.94,33,14.9405,0.7415
45,627.2255,1098.33,44,14.2551,0.5711
46,584.3412,916.99,38,15.3774,0.6372
47,657.9410,1144.19,45,14.6209,0.5750
48,393.6395,1028.65,28,14.0586,0.3827
49,686.3044,1242.13,45,15.2512,0.5525
50,636.3894,952.79,45,14.1420,0.6679
51,591.2457,626.44,40,14.7811,0.9438
52,429.9850,536.99,28,15.3566,0.8007
53,488.0321,556.54,33,14.7889,0.8769
54,635.3502,672.76,45,14.1189,0.9444
55,439.2598,549.27,31,14.1697,0.7997
56,500.2850,627.24,35,14.2939,0.7976
57,705.0613,697.86,44,16.0241,1.0103
58,414.4062,580.00,31,13.3679,0.7145
59,685.2999,730.05,45,15.2289,0.9387
60,537.6649,597.82,34,15.8137,0.8994
61,512.5416,625.40,37,13.8525,0.8195
62,792.1228,768.39,46,17.2201,1.0309
63,748.2497,720.36,46,16.2663,1.0387
64,692.5040,665.25,44,15.7387,1.0410
65,523.6882,598.85,35,14.9625,0.8745
66,681.9036,740.96,48,14.2063,0.9203
67,623.9364,750.16,50,12.4787,0.8317
68,644.5993,669.28,41,15.7219,0.9631
69,622.2648,662.11,40,15.5566,0.9398
70,547.8786,639.36,38,14.4179,0.8569
71,590.0234,615.40,37,15.9466,0.9588
72,536.4097,590.22,35,15.3260,0.9088
73,589.9672,671.62,45,13.1104,0.8784
74,477.1094,616.80,34,14.0326,0.7735
75,508.3000,625.55,38,13.3763,0.8126
76,608.7388,628.37,40,15.2185,0.9688
77,580.1270,632.44,39,14.8751,0.9173
78,612.8997,627.38,42,14.5929,0.9769
79,694.0445,688.68,47,14.7669,1.0078
80,603.7196,637.23,41,14.7249,0.9474
81,935.0237,842.72,59,15.8479,1.1095
82,587.3790,613.68,39,15.0610,0.9571
83,568.9080,648.98,39,14.5874,0.8766
84,426.4190,678.11,44,9.6913,0.6288
85,614.9941,670.07,42,14.6427,0.9178
86,561.8935,598.12,36,15.6082,0.9394
87,597.2218,649.14,39,15.3134,0.9200
88,246.7372,714.15,49,5.0355,0.3455
89,725.6710,715.91,45,16.1260,1.0136
90,676.1556,690.07,43,15.7245,0.9798
91,480.0380,589.01,34,14.1188,0.8150
92,482.9538,601.56,34,14.2045,0.8028
93,527.6210,727.82,48,10.9921,0.7249
94,246.7905,654.72,44,5.6089,0.3769
95,581.3108,634.50,39,14.9054,0.9162
96,741.6441,693.15,47,15.7797,1.0700
97,556.3513,621.86,37,15.0365,0.8947
98,644.6678,660.97,41,15.7236,0.9753
99,464.1802,547.91,30,15.4727,0.8472
100,578.8118,620.24,39,14.8413,0.9332
101,505.8649,579.39,34,14.8784,0.8731
102,548.3002,580.80,38,14.4290,0.9440
103,633.8223,566.38,36,17.6062,1.1191
104,508.9176,661.06,47,10.8280,0.7699
105,479.8255,545.62,33,14.5402,0.8794
106,516.6714,600.16,35,14.7620,0.8609
107,797.0738,700.66,49,16.2668,1.1376
108,666.2734,682.07,43,15.4947,0.9768
109,603.1456,623.95,39,15.4653,0.9667
110,545.8523,638.99,36,15.1626,0.8542
111,712.4323,677.92,44,16.1916,1.0509
112,688.3560,694.83,45,15.2968,0.9907
113,756.5248,680.44,46,16.4462,1.1118
114,607.6034,649.93,41,14.8196,0.9349
115,545.3833,530.38,34,16.0407,1.0283
116,558.1260,640.44,40,13.9531,0.8715
117,671.5455,728.80,46,14.5988,0.9214
118,496.0162,589.90,36,13.7782,0.8408
119,566.6309,598.59,40,14.1658,0.9466
120,690.2121,628.49,39,17.6977,1.0982
121,635.3713,625.23,40,15.8843,1.0162
122,624.9888,640.47,40,15.6247,0.9758
123,654.6404,628.97,41,15.9668,1.0408
124,585.5825,544.54,37,15.8266,1.0754
125,553.3285,589.76,37,14.9548,0.9382
126,571.0603,578.57,37,15.4341,0.9870
127,525.4196,579.70,35,15.0120,0.9064
128,510.8394,625.93,35,14.5954,0.8161
129,646.2996,696.20,43,15.0302,0.9283
130,606.9358,594.28,37,16.4037,1.0213
131,650.5934,645.19,40,16.2648,1.0084
132,623.0760,923.20,42,14.8351,0.6749
133,567.1671,1252.00,40,14.1792,0.4530
134,574.9034,1166.31,38,15.1290,0.4929
135,617.7341,795.88,41,15.0667,0.7762
136,724.2834,727.60,45,16.0952,0.9954
137,532.6534,757.56,40,13.3163,0.7031
138,616.6254,1202.78,43,14.3401,0.5127
139,563.6816,1164.23,37,15.2346,0.4842
140,811.7478,1188.15,53,15.3160,0.6832
141,617.3599,1065.13,40,15.4340,0.5796
142,483.2468,899.50,35,13.8071,0.5372
143,661.6654,1070.91,42,15.7539,0.6179
144,595.8695,1421.62,50,11.9174,0.4191
145,602.9296,1133.12,40,15.0732,0.5321
146,703.3988,895.24,46,15.2913,0.7857
147,733.4056,654.35,44,16.6683,1.1208
148,738.7654,724.31,47,15.7184,1.0200
149,858.3505,764.34,54,15.8954,1.1230
150,544.3523,593.89,38,14.3251,0.9166
